"COD";"DES";"COD_MECC";"COD_PARL";"COD_ART";"CODICE";"DES_FOR";"CODARTFOR";"NOTE";"UNO_UM";"EQUIV_2";"EQUIV_1";"QTA_IDRATI";"QTA_ANIDRI";"TIPO";"ULT_SCAR";"ULT_CARICO";"ULT_FORNI";"MAGAZZINO";"UM";"UN_DERIV";"UBICA_DEST";"CAT";"CAT_STAT";"CAT_OMOG";"CAT_FISC";"CLASCONTO";"CLASSEART";"FAMIGLIA";"FISCALE";"TIPO_PEZZO";"VAR_PREZZO";"NR_CONF";"NR_SCAT";"NR_PED";"ALTEZZA";"LARGHEZZA";"LUNGHEZZA";"NR_COLLI";"NR_COLLI_D";"QTA_FATTUR";"COSTO_STAN";"CUBAGGIO";"PESO_LORDO";"PESO_NETTO";"ASPETTO";"PREZZO_ACQ";"PRACQU_EU";"COD_IVA";"IVA";"NRLIS";"SETTORE";"IMBA";"PR_ULACQ";"PR_ULACQE";"COSTOMEDIO";"COSTOMEDIE";"PR_MEDIO";"PR_MEDIOE";"CONTROP";"PERC_COST";"PERC_VEND";"QORD";"VALORD";"VALORDE";"QCONS";"VALCONS";"VALCONSE";"QORDC";"VALORDC";"VALORDCE";"QCONSC";"VALCONSC";"VALCONSCE";"GIAC_INI";"VAL_INI";"VAL_INIE";"QTA_ACQ";"VAL_ACQ";"VAL_ACQ_E";"QTA_ENT";"VAL_ENT";"VAL_ENT_E";"QTA_VEN";"VAL_VEN";"VAL_VEN_E";"QTA_USC";"VAL_USC";"VAL_USC_E";"ORDINATO";"IMPEGNATO";"QTA_DISP";"VAL_DISP";"VAL_DISP_E";"TIPO_REC";"DES_CASSA";"VENDITA";"OFFERTA_Q";"OFFERTA_A";"FLAG_OQ";"FLAG_OA";"PRZ_MAN";"VIDIMA";"TIPO_QTA";"TIPO_STR";"TIPO_RESO";"SCONTO_SUB";"SCONTO_MAN";"FLAG_EAN2";"PRZ_ALTER";"FIN_AUTO";"COD_VUOTO";"COLL_VUOTO";"PRZ_ALT1";"PRZ_ALT1_E";"PRZ_ALT2";"PRZ_ALT2_E";"PRZ_ALT3";"PRZ_ALT3_E";"PRZ_ALT4";"PRZ_ALT4_E";"PRZ_ALT5";"PRZ_ALT5_E";"BOLLINI_F";"COD_PROM";"ULT_PROM";"PENU_PROM";"COSTO_BOLL";"COSTO_U_B";"COSTO_P_B";"DEC_SIGN";"FLAG_MOLTI";"UN_MIS";"REPARTO";"COD_CASSA";"PRZ_MAX";"PRZ_MAX_E";"PRZ_MIN";"PRZ_MIN_E";"PR_VENDI";"PR_VENDI_E";"COD_FOR";"ULT_VENDI";"DATAIMP";"ESCLUDI";"CODADD";"TAC";"TIPOGRI";"FOTO";"CODDIST";"CODFORM";"DESFOR";"GARANZIA";"NOMOVMAG";"OBSOLETO";"PRODINTE";"GGDIPROD";"FLCOSTO";"COSTOFI";"azienda.db";"";"";"";"";"";"";""
"LOTTO NAZ";"LOTTO NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250409";"20230121";"23000002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"SPALLE SUINO TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250522";"20250522";"23100008";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8326";"4.30000";"10";"";"";"";"";"7164";"3.70000";"7492";"3.86918";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"1738.1100";"13021920";"6725.06";"162518.0300";"1074453940";"554908.68";"162518.0300";"1074453940";"554908.68";"163107.530";"1159769899";"598960.13";"163141.910";"1160013669";"599086.03";"0.000";"0.000";"1114.230";"7982344";"4122.65";"";"";"0";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"63";"PANCETTONI SASSI";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250513";"20250513";"23000028";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4821";"2.49000";"10";"";"";"";"";"5170";"2.67000";"5970";"3.08304";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"93.8000";"559986";"289.19";"12388.6000";"66820627";"34509.81";"12388.6000";"66820627";"34509.81";"12419.000";"73563244";"37991.58";"12527.950";"74069988";"38253.31";"0.000";"0.000";"-45.550";"-235494";"-121.62";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LOTTO TD";"LOTTO TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250515";"20221215";"23000024";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"BUSTI SUINO NAZ";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250521";"20250520";"23000028";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7648";"3.95000";"10";"";"";"";"";"7455";"3.85000";"8390";"4.33317";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"205.9000";"1727501";"892.20";"72372.4500";"534001575";"275788.24";"72372.4500";"534001575";"275788.24";"72683.950";"599877128";"309811.83";"72739.500";"600288220";"310024.18";"0.000";"0.000";"-161.150";"-1201373";"-620.43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LOTTO SUINO NAZ";"LOTTO SUINO NAZ";"";"";"";"23000006";"";"";"";"";"";"";"";"";"";"20221213";"20221216";"23000024";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.00000";"10";"";"";"";"";"9352";"4.83000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01";"COMPENSATO BOVINO NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250515";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13360";"6.90000";"10";"";"";"";"";"13554";"7.00000";"11829";"6.13661";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"164.7000";"1948236";"1010.70";"27808.3000";"315076173";"165117.13";"27808.3000";"315076173";"165117.13";"27610.600";"346738290";"179074.28";"27641.000";"347093409";"179257.69";"0.000";"0.000";"332.000";"4499928";"2324.00";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02";"ANTERIORE BOVINO NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20241212";"20241211";"23000031";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7358";"3.80000";"10";"";"";"";"";"10069";"5.20000";"10644";"5.49720";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-1.2000";"-12773";"-6.60";"1259.9000";"12685424";"6551.48";"1259.9000";"12685424";"6551.48";"1226.800";"13897572";"7177.35";"1260.000";"14231847";"7349.99";"0.000";"0.000";"-1.200";"-12773";"-6.60";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"03";"POSTERIORE BOVINO NAZ";"";"";"";"23000022";"";"";"";"";"";"";"";"";"";"20240827";"20240827";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15490";"8.00000";"10";"";"";"";"";"11424";"5.90000";"13893";"7.17500";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-0.2000";"-2779";"-1.44";"210.5000";"2705430";"1397.25";"210.5000";"2705430";"1397.25";"210.700";"3210696";"1658.20";"210.700";"3210696";"1658.20";"0.000";"0.000";"-0.200";"-2779";"-1.44";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"05";"ANTERIORE SCOTTONA NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250522";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12199";"6.30000";"10";"";"";"";"";"12779";"6.60000";"10959";"5.84786";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"211.0100";"2312459";"1233.96";"12412.9600";"134235704";"74114.28";"12412.9600";"134235704";"74114.28";"12491.620";"147370431";"76109.55";"12567.660";"148289250";"76584.08";"0.000";"0.000";"56.310";"719585";"371.65";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"06";"POSTERIORE SCOTTONA NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20241008";"20241008";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8616";"4.45000";"10";"";"";"";"";"11811";"6.10000";"15054";"7.77500";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-0.5000";"-7527";"-3.89";"166.9500";"2297457";"1186.55";"166.9500";"2297457";"1186.55";"167.000";"2748486";"1419.50";"167.000";"2748486";"1419.50";"0.000";"0.000";"-0.500";"-7527";"-3.89";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"07";"SPALLOTTO SCOT.NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250522";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12295";"6.35000";"10";"";"";"";"";"11037";"5.70000";"10135";"5.23437";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"851.2500";"8627419";"4455.76";"104771.3500";"1096059603";"566066.92";"104771.3500";"1096059603";"566066.92";"104899.850";"1070534954";"552891.15";"105048.050";"1072116831";"553708.15";"0.000";"0.000";"574.550";"6341308";"3274.94";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"08";"SPALLOTTO SCOT.TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250521";"20250517";"23000043";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9681";"5.00000";"10";"";"";"";"";"10456";"5.40000";"9455";"4.88301";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-20.9000";"-197610";"-102.05";"184549.6600";"1717926040";"887235.21";"184549.6600";"1717926040";"887235.21";"183152.050";"1856508356";"958810.18";"184946.650";"1873180900";"967420.86";"0.000";"0.000";"-417.890";"-4369458";"-2256.61";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"09";"BEEF BOVINO";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250428";"20250424";"23000042";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"27108";"14.00000";"10";"";"";"";"";"24107";"12.45000";"16490";"8.83994";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"16.3000";"268787";"144.09";"2191.8500";"36250952";"20141.15";"2191.8500";"36250952";"20141.15";"2249.250";"37820539";"19532.71";"2312.450";"39436314";"20367.19";"0.000";"0.000";"-104.300";"-2514360";"-1298.54";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"ARROSTI PL";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20220507";"20220507";"23000024";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10069";"5.20000";"10";"";"";"";"";"14909";"7.70000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"AGNELLI MACELLATI";"";"";"";"23000007";"";"";"";"";"";"";"";"";"";"20250521";"20250521";"23000016";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15877";"8.20000";"10";"";"";"";"";"19363";"10.00000";"19995";"10.32638";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"145.3500";"2906273";"1500.94";"29616.0500";"546411077";"282198.13";"29616.0500";"546411077";"282198.13";"29456.900";"629703658";"325215.56";"29770.550";"631824903";"326311.17";"0.000";"0.000";"-9.150";"-177171";"-91.50";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"AGNELLI MACELLATI S.T.C";"";"";"";"23000009";"";"";"";"";"";"";"";"";"";"20231227";"20231219";"23000041";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12586";"6.50000";"10";"";"";"";"";"19363";"10.00000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"LOMBATELLI BOVINO";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250522";"20250522";"23000042";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16265";"8.40000";"10";"";"";"";"";"16458";"8.50000";"17186";"8.88904";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"369.4500";"6349368";"3284.06";"28067.7700";"456736034";"236627.82";"28067.7700";"456736034";"236627.82";"28015.070";"448252411";"231505.30";"28533.380";"451287941";"233073.10";"0.000";"0.000";"-96.160";"-1582601";"-817.36";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"LOMBI SUINO BOLOGNA";"";"";"";"23000006";"";"";"";"";"";"";"";"";"";"20240711";"20240710";"23000026";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7745";"4.00000";"10";"";"";"";"";"4937";"2.55000";"8568";"4.42500";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-0.5000";"-4284";"-2.21";"19.7000";"228874";"118.20";"19.7000";"228874";"118.20";"19.700";"108711";"56.15";"19.700";"108711";"56.15";"0.000";"0.000";"-0.500";"-4284";"-2.21";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"SUINO TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250522";"20250521";"23100007";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4937";"2.55000";"10";"";"";"";"";"4841";"2.50000";"5671";"2.92887";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"5669.6791";"32152750";"16605.75";"1183408.6001";"5789297803";"2989943.37";"1183408.6001";"5789297803";"2989943.37";"1135029.190";"5839334002";"3015774.62";"1182302.341";"6057474636";"3128434.87";"0.000";"0.000";"6775.938";"32802316";"16939.85";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"SUINO NAZ";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250522";"20250520";"23000005";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5809";"3.00000";"10";"";"";"";"";"6777";"3.50000";"7230";"3.73383";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"474.6010";"3431365";"1772.08";"192789.2000";"1209800562";"624809.57";"192789.2000";"1209800562";"624809.57";"192354.150";"1377580772";"711458.93";"193032.300";"1381751218";"713612.78";"0.000";"0.000";"231.501";"1568882";"810.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"ENTRECOTE FRESCO TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20241223";"20241219";"23100004";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"36111";"18.65000";"10";"";"";"";"";"48058";"24.82000";"39645";"20.47480";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"15.3300";"607758";"313.88";"149.8800";"5545338";"2863.93";"149.8800";"5545338";"2863.93";"122.310";"4871581";"2515.97";"134.550";"5313585";"2744.25";"0.000";"0.000";"15.330";"607758";"313.88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
