"COD";"DES";"COD_MECC";"COD_PARL";"COD_ART";"CODICE";"DES_FOR";"CODARTFOR";"NOTE";"UNO_UM";"EQUIV_2";"EQUIV_1";"QTA_IDRATI";"QTA_ANIDRI";"TIPO";"ULT_SCAR";"ULT_CARICO";"ULT_FORNI";"MAGAZZINO";"UM";"UN_DERIV";"UBICA_DEST";"CAT";"CAT_STAT";"CAT_OMOG";"CAT_FISC";"CLASCONTO";"CLASSEART";"FAMIGLIA";"FISCALE";"TIPO_PEZZO";"VAR_PREZZO";"NR_CONF";"NR_SCAT";"NR_PED";"ALTEZZA";"LARGHEZZA";"LUNGHEZZA";"NR_COLLI";"NR_COLLI_D";"QTA_FATTUR";"COSTO_STAN";"CUBAGGIO";"PESO_LORDO";"PESO_NETTO";"ASPETTO";"PREZZO_ACQ";"PRACQU_EU";"COD_IVA";"IVA";"NRLIS";"SETTORE";"IMBA";"PR_ULACQ";"PR_ULACQE";"COSTOMEDIO";"COSTOMEDIE";"PR_MEDIO";"PR_MEDIOE";"CONTROP";"PERC_COST";"PERC_VEND";"QORD";"VALORD";"VALORDE";"QCONS";"VALCONS";"VALCONSE";"QORDC";"VALORDC";"VALORDCE";"QCONSC";"VALCONSC";"VALCONSCE";"GIAC_INI";"VAL_INI";"VAL_INIE";"QTA_ACQ";"VAL_ACQ";"VAL_ACQ_E";"QTA_ENT";"VAL_ENT";"VAL_ENT_E";"QTA_VEN";"VAL_VEN";"VAL_VEN_E";"QTA_USC";"VAL_USC";"VAL_USC_E";"ORDINATO";"IMPEGNATO";"QTA_DISP";"VAL_DISP";"VAL_DISP_E";"TIPO_REC";"DES_CASSA";"VENDITA";"OFFERTA_Q";"OFFERTA_A";"FLAG_OQ";"FLAG_OA";"PRZ_MAN";"VIDIMA";"TIPO_QTA";"TIPO_STR";"TIPO_RESO";"SCONTO_SUB";"SCONTO_MAN";"FLAG_EAN2";"PRZ_ALTER";"FIN_AUTO";"COD_VUOTO";"COLL_VUOTO";"PRZ_ALT1";"PRZ_ALT1_E";"PRZ_ALT2";"PRZ_ALT2_E";"PRZ_ALT3";"PRZ_ALT3_E";"PRZ_ALT4";"PRZ_ALT4_E";"PRZ_ALT5";"PRZ_ALT5_E";"BOLLINI_F";"COD_PROM";"ULT_PROM";"PENU_PROM";"COSTO_BOLL";"COSTO_U_B";"COSTO_P_B";"DEC_SIGN";"FLAG_MOLTI";"UN_MIS";"REPARTO";"COD_CASSA";"PRZ_MAX";"PRZ_MAX_E";"PRZ_MIN";"PRZ_MIN_E";"PR_VENDI";"PR_VENDI_E";"COD_FOR";"ULT_VENDI";"DATAIMP";"ESCLUDI";"CODADD";"TAC";"TIPOGRI";"FOTO";"CODDIST";"CODFORM";"DESFOR";"GARANZIA";"NOMOVMAG";"OBSOLETO";"PRODINTE";"GGDIPROD";"FLCOSTO";"COSTOFI";"azienda.db";"";"";"";"";"";"";""
"64";"TRITO OCCHIALINI";"";"";"";"23000006";"";"";"";"";"";"";"";"";"";"20241205";"20241205";"23000006";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8578";"4.43000";"10";"";"";"";"";"9972";"5.15000";"9182";"4.82273";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-0.7000";"-6427";"-3.38";"672.0000";"5930518";"3195.76";"672.0000";"5930518";"3195.76";"748.930";"7283346";"3761.60";"751.930";"7309077";"3774.89";"0.000";"0.000";"-0.700";"-6427";"-3.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"COPPE DISS.NAZ";"";"";"";"23000006";"";"";"";"";"";"";"";"";"";"20250512";"20250522";"23100002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8810";"4.55000";"10";"";"";"";"";"6487";"3.35000";"9601";"4.95865";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0040";"38";"0.02";"6737.1640";"59131624";"30539.16";"6737.1640";"59131624";"30539.16";"6814.120";"64814642";"33474.48";"6846.460";"65028224";"33584.82";"0.000";"0.000";"-109.292";"-708977";"-366.13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"VITELLINA";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250521";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19944";"10.30000";"10";"";"";"";"";"16168";"8.35000";"17664";"9.12263";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"166.1400";"2934697";"1515.63";"37666.7000";"659721124";"340717.96";"37666.7000";"659721124";"340717.96";"37132.550";"632060118";"326431.81";"37718.590";"642374362";"331759.02";"0.000";"0.000";"114.250";"1847194";"953.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LOTTO";"LOTTO";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250508";"20221223";"23000009";"";"";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"1.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"-3.000";"-875256";"-452.03";"-3.000";"-875256";"-452.03";"0.000";"0.000";"4.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"FRATTAGLIE BOVINO";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250521";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5809";"3.00000";"10";"";"";"";"";"2904";"1.50000";"3639";"1.88077";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"98.1100";"357022";"184.52";"50048.4800";"125061768";"64805.20";"50048.4800";"125061768";"64805.20";"48118.680";"118292390";"61093.05";"49820.040";"122938182";"63492.40";"0.000";"0.000";"326.550";"948301";"489.83";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"52";"SCOTTONA SPANCETTATA TD";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250522";"20250522";"23100002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13554";"7.00000";"10";"";"";"";"";"14135";"7.30000";"12531";"6.47181";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"756.9000";"9484714";"4898.51";"343762.5800";"3943347576";"2036569.69";"343762.5800";"3943347576";"2036569.69";"341398.560";"4149548341";"2143055.55";"343580.480";"4169499041";"2153359.39";"0.000";"0.000";"939.000";"13272765";"6854.70";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"150";"CAMPANELLO BOVINO PL";"";"";"";"23000011";"";"";"";"";"";"";"";"";"";"20250522";"20250522";"23000010";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15490";"8.00000";"10";"";"";"";"";"15297";"7.90000";"13514";"6.97954";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"1423.4700";"19236774";"9935.17";"29239.6300";"416324771";"215013.91";"29239.6300";"416324771";"215013.91";"29577.430";"371371388";"191796.66";"29618.920";"372007128";"192124.99";"0.000";"0.000";"1044.180";"15972821";"8249.02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"LOTTO SASSI";"LOTTO SASSI";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20221213";"20221213";"23000024";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"";"";"";"";"";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"66";"PROSCIUTTO NAZ DISS.";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250520";"20250520";"23000005";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"19363";"10.00000";"10";"";"";"";"";"19750";"10.20000";"20514";"10.59445";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"95.8800";"1966882";"1015.80";"5909.1900";"118860023";"61386.10";"5909.1900";"118860023";"61386.10";"5895.370";"126851920";"65513.30";"5940.630";"127739799";"65971.85";"0.000";"0.000";"64.440";"1272690";"657.29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"152";"REALE SV PL";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250522";"20250516";"23100014";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18395";"9.50000";"10";"";"";"";"";"19363";"10.00000";"19118";"9.87339";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"207.9700";"3975970";"2053.37";"4553.6100";"84144454";"43457.05";"4553.6100";"84144454";"43457.05";"4550.860";"81172918";"41922.28";"4553.350";"81219930";"41946.56";"0.000";"0.000";"208.230";"4031957";"2082.30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"CODE BOVINO";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250521";"20250520";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13554";"7.00000";"10";"";"";"";"";"11618";"6.00000";"11883";"6.13701";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"127.8900";"1519717";"784.86";"4239.7300";"49389009";"25507.29";"4239.7300";"49389009";"25507.29";"4183.760";"48248208";"24918.14";"4247.660";"48990575";"25301.54";"0.000";"0.000";"119.960";"1393695";"719.76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"PETTI BOVINO";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250509";"20250506";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9681";"5.00000";"10";"";"";"";"";"10649";"5.50000";"9505";"4.95018";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"117.8000";"1119689";"583.13";"10713.5500";"103646740";"53961.38";"10713.5500";"103646740";"53961.38";"10787.800";"111658648";"57667.35";"10833.700";"112179504";"57936.38";"0.000";"0.000";"-2.350";"-25025";"-12.93";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"CORATE SUINO";"";"";"";"23000008";"";"";"";"";"";"";"";"";"";"20250522";"20250522";"23100002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3485";"1.80000";"10";"";"";"";"";"1936";"1.00000";"3844";"1.98502";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"37.4100";"143804";"74.26";"25657.6400";"77185267";"39863.49";"25657.6400";"77185267";"39863.49";"24666.920";"97483505";"50346.72";"25746.200";"101381902";"52360.08";"0.000";"0.000";"-51.150";"-99026";"-51.15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"BEEF VITELLINA";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20250520";"20250517";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20428";"10.55000";"10";"";"";"";"";"19363";"10.00000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"27.5000";"532474";"275.00";"27.5000";"532474";"275.00";"27.500";"750778";"387.75";"27.500";"750778";"387.75";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"GIRELLI BOVINO";"";"";"";"23000003";"";"";"";"";"";"";"";"";"";"20250515";"20250522";"23000010";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20331";"10.50000";"10";"";"";"";"";"21299";"11.00000";"17181";"8.87300";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"173.8400";"2986745";"1542.48";"2269.4200";"42324287";"22531.50";"2269.4200";"42324287";"22531.50";"2262.200";"40099907";"20709.80";"2269.220";"40240987";"20782.70";"0.000";"0.000";"174.040";"3706878";"1914.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"65";"TRITO SOTTOSPALLA";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20230919";"20230919";"23000028";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6099";"3.15000";"10";"";"";"";"";"7745";"4.00000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"4.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"4.000";"0";"0.00";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"68";"PROSCIUTTO PARMA DISS.";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20240521";"20240514";"23000005";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0.00000";"10";"";"";"";"";"16458";"8.50000";"19231";"9.93182";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-0.3100";"-5962";"-3.08";"22.9100";"377059";"194.74";"22.9100";"377059";"194.74";"22.910";"504088";"260.34";"22.910";"504088";"260.34";"0.000";"0.000";"-0.310";"-5962";"-3.08";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"69";"PROSCIUTTO PARMA C/OSSO";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250510";"20250114";"23000005";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12586";"6.50000";"10";"";"";"";"";"19169";"9.90000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"49.5400";"949636";"490.45";"49.5400";"949636";"490.45";"49.540";"719421";"371.55";"49.540";"719421";"371.55";"0.000";"0.000";"0.000";"0";"0.00";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"ANTERIORE VITELLINA";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20210216";"20210215";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9294";"4.80000";"10";"";"";"";"";"10069";"5.20000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"PERE BOVINO";"";"";"";"23000002";"";"";"";"";"";"";"";"";"";"20230303";"20230131";"23000002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8423";"4.35000";"10";"";"";"";"";"8229";"4.25000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"SALAME NAPOLI";"";"";"";"23000012";"";"";"";"";"";"";"";"";"";"20250513";"20250509";"23000012";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3776";"1.95000";"10";"";"";"";"";"14135";"7.30000";"15048";"7.77169";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"664.9000";"10005415";"5167.40";"8371.6000";"102258143";"52811.89";"8371.6000";"102258143";"52811.89";"7679.000";"120159229";"62057.25";"7710.200";"120360395";"62161.14";"0.000";"0.000";"1326.300";"18747251";"9681.99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"PROSCIUTTI SUINO C/O";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250521";"20250520";"23100002";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4841";"2.50000";"10";"";"";"";"";"7939";"4.10000";"5956";"3.07576";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"-21.1000";"-125672";"-64.90";"18091.4400";"59594855";"30778.18";"18091.4400";"59594855";"30778.18";"17802.690";"102876853";"53130.49";"17832.840";"103058581";"53224.37";"0.000";"0.000";"237.500";"1885513";"973.75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"PANCETTA RUSTICA";"";"";"";"23000012";"";"";"";"";"";"";"";"";"";"20230331";"20230525";"23000012";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13554";"7.00000";"10";"";"";"";"";"9681";"5.00000";"0";"0.00000";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.0000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0";"0.00";"0.000";"0.000";"0.000";"0";"0.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"CAPICOLLI";"";"";"";"23000005";"";"";"";"";"";"";"";"";"";"20250512";"20250502";"23000012";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15877";"8.20000";"10";"";"";"";"";"17426";"9.00000";"21558";"11.13370";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"42.2100";"909963";"469.95";"2132.4200";"40515412";"20924.47";"2132.4200";"40515412";"20924.47";"1853.820";"36073079";"18630.15";"1919.810";"40034081";"20675.84";"0.000";"0.000";"254.820";"4440493";"2293.38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"60";"BIANCOSTATO  C.OSSO SCOT.";"";"";"";"23000010";"";"";"";"";"";"";"";"";"";"20250510";"20250413";"23100015";"";"KG";"";"";"0007";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12586";"6.50000";"10";"";"";"";"";"13941";"7.20000";"12234";"6.31844";"";"";"";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"0.0000";"";"";"47.7400";"584051";"301.64";"15780.3100";"184389483";"95229.79";"15780.3100";"184389483";"95229.79";"15696.980";"163422220";"84400.60";"15887.370";"165352929";"85397.73";"0.000";"0.000";"-59.320";"-826980";"-427.10";"I";"";"1";"";"";"0";"0";"3";"2";"3";"2";"1";"1";"1";"3";"2";"2";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
